Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality,AQI,Green_Cover
36.8,71.4,5.4,46.1,41.7,6.3,2.35,2.6,846,Hazardous,420.0,11.74
27.0,48.8,26.6,30.2,13.4,5.6,1.09,11.7,337,Good,93.0,47.71
29.8,54.4,3.6,11.2,15.0,7.4,0.75,10.5,365,Good,95.0,59.3
33.8,72.1,0.6,14.2,32.5,17.5,1.59,14.5,646,Moderate,126.0,44.53
25.3,54.9,0.8,6.8,27.7,4.6,0.99,12.0,279,Good,71.0,54.34
16.8,57.1,22.0,25.6,13.0,6.4,1.05,10.4,231,Good,73.0,57.35
34.0,90.1,34.4,40.7,35.8,6.2,1.42,8.8,510,Moderate,137.0,23.55
25.1,78.5,39.9,54.2,37.5,19.8,2.2,3.4,463,Poor,218.0,23.9
30.4,91.7,8.3,19.2,36.2,18.8,2.25,3.4,417,Poor,378.0,12.43
26.1,88.5,33.9,41.7,37.4,14.5,1.17,7.7,542,Moderate,102.0,29.72
33.6,79.4,18.1,32.1,31.7,15.3,1.86,6.1,691,Poor,285.0,18.98
30.3,89.0,6.3,9.3,23.5,14.3,1.88,7.8,365,Moderate,109.0,27.6
32.5,89.0,12.2,34.2,38.7,13.5,1.88,5.3,688,Poor,237.0,12.73
27.5,68.3,0.4,6.2,27.0,9.3,1.12,11.6,465,Good,56.0,32.7
23.9,44.8,1.0,4.7,26.0,3.5,1.02,10.6,262,Good,67.0,54.04
25.2,57.1,15.7,21.6,24.4,3.9,1.01,10.2,261,Good,94.0,58.01
32.6,82.7,71.2,87.5,30.3,15.8,2.31,6.3,712,Poor,332.0,27.52
37.0,76.5,22.5,35.0,38.0,26.9,2.31,3.7,774,Poor,391.0,24.06
28.0,75.5,70.0,88.9,41.7,23.3,2.42,4.2,678,Poor,391.0,24.76
32.4,56.5,0.0,13.9,27.2,5.3,1.0,5.4,412,Moderate,139.0,29.36
41.1,70.1,45.2,60.0,28.5,15.7,2.43,6.0,759,Hazardous,509.0,28.2
29.9,65.5,0.9,8.2,25.2,11.4,1.46,8.4,670,Moderate,138.0,11.16
24.2,43.1,13.7,20.4,15.7,7.6,1.04,11.3,365,Good,40.0,52.4
37.9,81.28501642161675,43.3,51.1,31.9,10.6,1.23,7.2,293,Moderate,117.0,30.35
43.6,89.54954104304524,75.6,90.4,33.6,17.9,1.98,9.6,425,Poor,274.0,24.49
33.7,66.5,67.2,77.4,32.7,6.2,1.24,13.8,461,Moderate,112.0,25.85
34.7,86.1,14.6,26.3,22.2,10.6,1.8,5.8,643,Moderate,116.0,29.91
26.9,81.9,28.0,40.2,23.5,8.7,1.41,5.9,379,Moderate,157.0,42.89
18.5,64.8,8.8,11.5,14.1,5.1,0.89,10.1,428,Good,87.0,39.8
27.7,73.5,8.4,16.1,32.7,9.3,1.48,5.2,638,Moderate,188.0,12.83
20.9,78.1,16.9,22.9,13.2,6.9,1.09,10.4,450,Good,71.0,41.89
32.4,81.8,16.6,30.3,19.3,13.6,1.68,3.8,588,Poor,320.0,12.83
29.0,84.3,8.7,14.7,31.6,11.9,1.53,10.4,475,Moderate,140.0,44.39
21.3,71.5,13.4,17.3,19.1,1.1,1.07,11.1,280,Good,39.0,43.88
26.4,47.9,40.7,57.5,32.1,7.0,1.79,6.1,562,Moderate,110.0,19.96
23.1,56.3,31.4,33.8,15.1,5.8,1.02,10.5,300,Good,80.0,51.5
27.2,84.3,17.3,22.4,13.0,5.6,1.21,13.0,539,Good,85.0,39.11
23.2,54.0,2.9,8.8,24.4,0.6,1.04,12.5,372,Good,66.0,45.88
37.5,49.5,9.5,14.9,21.7,7.3,1.64,5.4,654,Moderate,123.0,27.87
21.2,78.0,6.0,15.4,20.2,5.5,1.03,10.5,446,Good,88.0,39.58
25.2,52.1,1.6,4.8,21.1,4.6,1.1,11.7,230,Good,85.0,55.64
29.1,54.3,5.8,15.1,28.0,8.8,1.43,10.8,421,Moderate,123.0,35.29
26.8,81.2,0.9,5.7,20.3,6.6,0.93,11.0,409,Good,60.0,31.11
27.1,51.2,20.8,25.6,15.7,4.4,0.75,10.3,432,Good,40.0,28.19
38.0,78.8,1.3,9.0,23.8,0.8,2.54,5.3,755,Poor,205.0,17.98
29.6,89.1,19.4,30.7,35.4,24.7,1.74,15.4,748,Poor,220.0,36.07
48.4,91.7,24.0,42.3,37.5,29.3,2.35,2.9,924,Hazardous,428.0,12.03
31.2,64.0,15.7,25.3,28.0,13.2,1.59,7.6,485,Moderate,173.0,17.17
23.4,52.5,1.6,10.7,16.9,3.1,1.37,8.1,396,Moderate,172.0,33.24
25.6,49.6,0.1,3.9,22.8,4.9,1.02,13.8,575,Good,72.0,27.73
24.5,45.3,3.6,9.0,24.4,3.8,0.9,11.2,527,Good,60.0,33.38
22.6,76.4,15.6,18.6,24.2,4.7,1.04,12.6,430,Good,89.0,29.09
23.0,40.9,21.6,25.2,21.5,3.4,1.02,14.8,215,Good,36.0,49.95
24.7,71.6,26.6,34.2,24.8,3.2,1.06,10.6,596,Good,53.0,44.27
23.9,43.0,12.2,17.2,14.1,7.2,0.93,10.5,333,Good,89.0,50.11
22.2,56.3,6.7,13.5,21.4,4.9,1.11,12.3,348,Good,44.0,46.38
28.3,75.6,0.1,8.7,10.4,4.0,1.04,12.5,518,Good,85.0,43.5
20.4,43.9,11.8,15.9,25.7,9.0,1.06,13.8,480,Good,61.0,28.56
23.8,52.1,49.8,61.3,32.5,6.3,1.72,5.7,336,Moderate,105.0,35.85
26.1,65.4,10.2,14.0,23.1,7.1,1.01,12.2,379,Good,47.0,44.69
41.9,81.3,11.4,23.3,31.2,11.5,1.98,5.5,459,Poor,314.0,28.08
34.6,65.2,47.0,59.9,24.4,15.6,2.15,7.0,771,Poor,222.0,25.29
45.0,80.23724238806605,18.8,45.3,45.3,17.9,2.73,3.3,615,Hazardous,423.0,19.99
33.8,68.1,5.4,13.6,30.6,12.1,1.88,6.8,575,Moderate,102.0,13.53
25.6,57.4,2.2,6.4,12.2,5.0,1.19,18.9,392,Good,60.0,57.1
41.4,61.5,17.6,41.6,32.9,11.4,2.78,4.6,593,Poor,353.0,15.68
34.9,76.2,7.3,17.0,24.4,2.9,1.59,10.2,660,Moderate,123.0,31.54
19.7,62.7,22.4,27.5,19.4,3.1,1.18,10.6,396,Good,89.0,59.21
23.0,44.5,2.3,10.6,13.7,6.3,1.13,11.5,537,Good,65.0,33.17
30.5,76.2,26.8,46.5,40.0,9.3,2.4,9.9,624,Poor,259.0,29.95
39.0,77.95730093601794,11.2,29.4,44.6,19.3,3.65,2.8,713,Hazardous,433.0,11.05
22.8,76.0,12.3,22.0,27.1,12.2,1.54,12.1,577,Moderate,164.0,29.42
27.8,56.8,2.5,9.5,12.5,7.0,1.04,12.1,258,Good,50.0,46.54
29.0,81.3,60.0,76.1,24.2,5.8,1.05,6.4,511,Moderate,121.0,26.24
41.8,75.4,23.7,34.7,37.7,6.8,1.42,5.9,527,Poor,317.0,27.32
26.8,91.1,16.6,21.3,25.8,6.4,1.72,7.7,571,Moderate,139.0,22.09
30.7,81.9,0.5,11.4,26.4,20.0,1.71,5.2,650,Moderate,126.0,18.35
30.4,90.7,91.5,98.9,22.1,9.6,1.52,5.3,598,Moderate,150.0,18.85
28.1,75.08182412309066,35.0,50.7,46.0,19.4,1.66,4.0,487,Poor,366.0,28.7
25.0,87.3,49.8,70.3,35.2,15.4,2.85,4.7,680,Hazardous,406.0,10.73
41.1,82.1,30.0,52.7,35.7,14.9,2.46,4.0,654,Poor,302.0,22.74
28.3,72.7,56.8,70.2,34.4,10.3,1.75,5.1,486,Poor,356.0,28.66
37.9,79.6,28.0,37.4,33.2,13.6,1.93,4.9,608,Poor,288.0,20.6
42.5,75.87244034766287,109.2,116.8,43.5,21.2,2.07,4.6,741,Hazardous,404.0,22.36
29.9,86.3,8.3,19.9,21.0,7.9,1.44,9.1,487,Moderate,165.0,22.87
32.0,79.58783719172882,60.3,78.5,45.4,25.0,3.01,4.3,698,Hazardous,487.0,12.19
33.8,53.7,11.2,30.1,25.8,10.6,1.23,5.3,640,Moderate,133.0,18.08
22.0,56.3,5.7,12.5,16.8,6.1,1.01,12.2,230,Good,42.0,50.05
21.3,41.7,6.9,10.9,21.2,3.7,1.0,12.8,298,Good,100.0,56.97
26.8,76.1,3.8,10.1,25.1,4.7,1.01,10.3,394,Good,71.0,43.08
22.6,70.7,0.8,7.4,26.3,1.8,1.07,10.8,481,Good,87.0,31.28
32.1,75.6,16.2,21.1,18.9,12.4,1.44,9.3,405,Moderate,126.0,27.24
35.2,86.4,47.2,61.0,21.7,13.8,2.24,3.7,514,Poor,272.0,22.7
46.1,80.5,42.3,58.5,32.1,28.4,2.4,2.7,705,Hazardous,485.0,17.97
29.2,54.0,2.5,8.7,27.7,10.5,1.4,5.7,327,Moderate,101.0,26.41
26.0,71.5,31.4,34.6,21.3,3.9,0.97,12.7,463,Good,73.0,40.53
45.2,82.24033936732373,51.2,79.2,35.4,23.3,2.16,3.7,565,Hazardous,455.0,10.15
22.6,40.8,4.6,10.6,20.9,5.7,1.11,12.6,315,Good,94.0,40.15
24.0,51.2,14.1,16.5,26.0,7.4,0.97,10.2,264,Good,55.0,44.33
27.4,77.3,12.9,21.1,16.4,15.8,1.81,8.0,406,Moderate,133.0,28.73
32.6,79.6,42.8,51.4,14.1,13.3,1.55,7.5,633,Moderate,104.0,18.52
22.2,57.5,3.6,5.6,16.7,7.6,0.86,11.6,460,Good,65.0,44.98
31.4,63.1,4.3,15.6,21.9,16.4,1.45,5.9,625,Moderate,107.0,27.24
26.1,83.8,33.2,36.9,23.6,2.7,0.82,19.1,310,Good,39.0,44.8
25.1,63.9,5.0,8.8,17.3,6.3,1.12,11.0,367,Good,81.0,56.79
41.2,92.2,36.1,49.5,42.2,17.1,2.39,2.7,815,Hazardous,451.0,14.74
37.1,47.9,18.1,26.7,20.4,14.7,1.53,10.3,467,Moderate,104.0,34.05
25.8,53.0,14.7,20.4,13.2,5.7,0.82,11.1,259,Good,71.0,51.8
30.4,44.2,7.8,11.4,22.0,5.9,0.92,11.3,446,Good,71.0,33.42
35.6,82.5,1.8,11.9,20.6,14.6,1.63,10.1,672,Moderate,114.0,25.25
28.2,75.4,1.2,13.0,35.9,2.6,1.42,5.5,539,Moderate,157.0,19.55
22.6,69.0,1.2,7.7,12.2,5.6,1.18,11.8,481,Good,77.0,35.47
16.9,72.9,1.3,0.2,27.6,6.4,0.97,13.7,339,Good,98.0,54.32
15.3,48.0,16.6,20.7,26.5,3.9,0.94,12.5,263,Good,29.0,56.85
38.0,84.6,34.2,62.4,43.8,17.8,2.62,6.7,598,Hazardous,478.0,27.16
28.6,67.5,0.2,4.9,19.0,4.5,1.04,11.4,444,Good,56.0,33.14
37.6,83.71114787038186,142.3,157.1,36.3,20.8,1.82,2.8,528,Hazardous,454.0,22.38
16.8,46.5,7.7,10.2,26.2,4.2,0.85,11.6,249,Good,88.0,58.04
24.8,39.7,5.0,13.2,20.3,5.8,1.1,10.5,418,Good,48.0,26.81
27.1,76.4,8.0,13.0,21.7,3.4,0.86,10.0,407,Good,40.0,29.2
30.0,78.0,9.7,14.5,15.5,7.2,1.05,12.3,554,Good,40.0,44.95
27.5,65.9,19.3,31.5,24.6,7.2,1.74,5.4,609,Moderate,137.0,19.28
34.9,80.9,21.4,32.8,50.8,16.6,2.11,3.8,797,Hazardous,415.0,20.7
28.4,54.4,5.5,17.5,29.1,12.2,1.5,7.3,663,Moderate,124.0,18.49
22.7,79.5,1.0,8.1,12.2,6.5,1.03,12.4,439,Good,100.0,37.1
20.3,52.3,2.0,6.0,25.1,4.7,0.95,13.4,277,Good,49.0,56.17
35.3,71.2,12.9,39.3,34.8,14.1,2.42,5.7,401,Poor,310.0,25.37
21.8,72.4,4.0,7.5,19.4,-0.3,1.15,12.2,490,Good,66.0,28.49
32.8,51.2,23.8,29.2,35.6,7.4,1.48,8.9,586,Moderate,172.0,22.92
38.7,72.4,3.4,23.9,25.4,22.6,2.27,3.9,765,Poor,235.0,20.07
37.6,47.8,45.5,49.8,27.7,13.9,1.25,10.3,511,Moderate,130.0,31.18
29.4,73.1,11.7,28.0,24.5,13.2,1.51,8.0,459,Moderate,123.0,26.7
38.8,64.6,21.5,31.9,21.2,9.0,1.48,5.8,545,Moderate,111.0,14.66
30.5,74.7,17.5,22.8,26.3,9.9,1.61,7.9,441,Moderate,156.0,11.16
23.3,81.8,27.0,34.6,33.4,14.0,1.65,5.3,505,Moderate,103.0,18.8
31.3,49.2,7.2,14.9,29.3,11.9,1.37,6.7,340,Moderate,127.0,26.79
26.5,42.4,4.7,14.1,18.0,1.7,0.94,12.0,457,Good,74.0,28.33
20.7,77.0,15.2,20.3,15.8,3.7,0.96,16.0,368,Good,80.0,56.03
21.6,46.5,6.5,15.7,21.8,7.8,1.03,15.0,602,Good,82.0,34.89
26.0,64.3,22.6,38.3,33.3,14.4,1.48,7.0,359,Moderate,117.0,41.33
28.1,65.8,3.1,8.6,14.6,5.2,0.86,10.9,370,Good,92.0,47.16
27.4,61.2,24.3,32.1,23.8,4.8,0.98,11.6,345,Good,90.0,52.35
21.9,60.3,0.0,3.1,20.0,3.0,0.92,10.3,396,Good,59.0,41.99
21.8,70.4,16.5,22.3,24.1,1.9,0.94,12.3,420,Good,81.0,32.6
40.0,84.4,47.0,59.3,22.4,3.1,1.51,6.0,453,Moderate,157.0,29.86
19.8,75.8,1.5,6.7,28.9,10.9,0.94,6.7,636,Moderate,177.0,21.12
29.3,64.2,18.7,27.4,32.1,10.8,1.52,6.6,392,Moderate,133.0,36.37
29.8,67.7,3.6,12.7,17.0,6.8,1.01,13.7,550,Good,75.0,40.67
25.5,63.0,29.1,38.7,28.8,4.7,1.32,5.9,527,Moderate,124.0,26.73
38.2,54.8,43.9,53.5,21.1,9.0,1.47,5.0,485,Moderate,143.0,21.66
47.3,75.6,75.8,92.0,36.3,17.4,1.76,5.0,503,Poor,211.0,20.2
29.4,64.5,0.7,4.7,16.4,4.7,1.1,11.1,520,Good,64.0,41.34
47.2,76.9,1.5,27.0,34.4,20.2,2.45,6.0,939,Hazardous,468.0,18.74
29.6,73.6,2.3,8.1,26.0,0.2,1.12,11.9,490,Good,62.0,34.07
28.4,71.7,13.3,15.0,16.8,8.2,1.11,11.4,360,Good,52.0,57.86
33.2,84.3,106.5,127.3,34.7,11.8,2.29,3.8,586,Poor,347.0,15.9
26.3,49.6,6.0,8.9,24.2,9.8,1.06,10.6,199,Good,71.0,54.65
30.7,81.82718886627924,7.9,26.1,41.6,26.1,2.31,4.8,765,Hazardous,423.0,18.61
27.5,85.0,57.1,72.3,33.7,9.6,1.86,5.4,537,Moderate,163.0,18.19
21.0,79.86312281723767,7.6,16.7,35.6,9.9,1.7,5.2,388,Poor,334.0,26.58
34.5,60.8,37.1,47.4,28.7,9.1,2.04,3.4,484,Poor,266.0,20.15
33.7,83.2,1.6,25.2,34.3,12.0,2.59,6.2,551,Poor,237.0,16.53
36.4,58.0,18.3,23.6,30.5,13.7,1.49,5.1,363,Moderate,174.0,33.03
33.5,44.8,36.7,44.4,21.0,9.7,1.23,10.1,547,Moderate,112.0,34.1
34.9,66.8,8.4,20.7,32.8,11.8,1.21,8.2,623,Moderate,147.0,11.73
37.8,74.6,19.6,29.0,22.2,12.7,1.4,5.2,417,Moderate,110.0,11.44
23.1,71.0,4.9,9.9,17.7,4.4,1.01,11.8,342,Good,34.0,55.44
29.0,39.7,8.9,16.2,26.2,4.2,0.97,15.0,250,Good,98.0,50.17
24.4,63.7,31.1,34.2,16.4,-0.2,0.99,10.7,501,Good,72.0,38.87
25.8,78.2,14.0,20.2,23.3,6.6,1.01,18.8,576,Good,54.0,36.98
26.2,64.3,16.2,19.4,18.5,9.0,1.08,11.3,566,Good,69.0,38.2
31.5,61.9,105.9,105.0,22.4,4.8,1.16,6.1,577,Moderate,147.0,17.98
24.4,44.8,4.1,7.4,23.7,4.0,0.91,11.9,241,Good,98.0,45.48
31.4,79.4,55.7,62.7,24.1,11.5,1.46,7.8,361,Moderate,153.0,43.75
26.7,72.4,4.2,16.3,18.9,11.7,1.45,12.0,527,Moderate,107.0,35.46
29.7,54.0,0.2,7.6,15.6,4.4,0.93,10.8,401,Good,55.0,39.15
23.6,47.8,3.8,6.4,14.0,3.3,1.09,10.4,209,Good,80.0,41.94
32.2,62.7,1.5,7.6,19.7,4.3,0.95,10.3,348,Good,84.0,51.14
24.9,66.8,7.0,11.8,24.5,8.9,0.93,10.2,388,Good,71.0,40.8
42.8,78.6,31.8,44.5,32.4,26.0,1.98,3.8,598,Poor,228.0,15.07
32.4,56.0,3.3,15.6,28.8,6.5,1.49,7.6,506,Moderate,134.0,28.4
33.3,64.4,17.0,33.1,25.1,10.6,1.39,5.9,511,Moderate,108.0,11.75
27.5,55.4,32.5,47.0,22.1,12.7,1.66,5.2,298,Moderate,147.0,35.64
34.1,67.9,40.1,47.1,34.6,1.0,1.72,9.5,462,Moderate,172.0,17.75
39.4,82.27423514677261,34.9,56.8,36.1,3.1,2.02,5.7,454,Poor,305.0,24.14
32.7,62.6,50.5,66.6,31.5,9.2,1.26,7.1,473,Moderate,111.0,21.76
36.3,84.9,5.3,14.1,33.0,16.5,1.9,5.3,718,Poor,261.0,24.66
36.3,70.0,58.7,71.9,42.1,12.1,2.37,3.9,539,Poor,242.0,14.66
24.2,68.2,2.0,6.3,20.3,8.2,1.04,10.5,267,Good,77.0,51.33
36.4,82.7,19.7,36.6,39.2,15.9,1.72,9.0,782,Poor,242.0,14.78
24.6,58.0,7.5,19.0,25.7,3.4,1.57,12.7,617,Moderate,140.0,33.34
33.4,80.2,10.3,32.4,40.3,12.9,1.36,2.6,597,Hazardous,444.0,28.1
28.6,83.7,2.5,9.1,24.5,17.5,1.38,6.3,466,Moderate,113.0,12.84
18.8,46.7,0.6,5.5,13.4,7.0,1.01,11.5,484,Good,46.0,37.52
34.6,75.7,3.7,27.7,32.2,3.9,1.91,3.6,703,Poor,375.0,11.85
24.1,60.2,6.3,12.2,30.8,17.6,1.44,8.0,353,Moderate,147.0,32.15
33.6,57.0,3.4,8.2,17.6,3.5,1.12,13.1,297,Good,98.0,43.53
42.7,70.1,123.7,128.1,28.7,2.4,1.89,4.2,765,Poor,259.0,11.24
34.4,75.8,7.2,22.6,35.5,12.0,1.42,9.5,582,Moderate,108.0,29.56
26.7,61.9,11.8,16.3,13.0,6.3,0.85,16.7,361,Good,33.0,42.71
32.7,79.1,17.2,29.7,23.9,17.0,1.25,7.5,504,Moderate,114.0,27.41
31.8,86.3,2.6,14.8,38.6,17.7,2.07,3.7,551,Poor,251.0,20.14
24.1,52.5,8.2,9.5,22.3,3.5,0.82,11.5,511,Good,78.0,29.27
25.2,88.9,22.3,44.2,34.1,17.5,2.33,4.4,578,Poor,226.0,25.49
43.0,84.02504328324206,14.6,38.1,39.7,17.3,2.17,5.4,591,Hazardous,482.0,27.91
39.9,85.53766279332795,37.2,54.7,50.8,21.8,2.58,2.8,556,Hazardous,515.0,24.7
28.6,91.5,61.2,82.7,39.5,7.5,1.97,4.6,639,Poor,206.0,28.16
30.1,89.5,26.2,38.9,45.4,19.1,2.18,4.2,658,Poor,293.0,14.11
33.7,72.5,6.9,22.6,22.8,16.2,1.48,8.5,644,Moderate,157.0,25.09
30.4,72.9,10.9,25.7,29.3,8.9,1.58,5.3,655,Moderate,122.0,18.61
29.5,62.3,3.4,12.5,17.9,6.7,1.05,10.5,439,Good,85.0,34.81
28.4,45.1,9.7,15.9,23.0,6.5,0.99,12.6,303,Good,46.0,47.57
44.6,82.07079514637526,78.9,98.3,40.6,23.9,2.44,4.3,670,Hazardous,421.0,10.02
30.0,85.3,9.2,18.2,25.8,5.2,1.42,10.2,503,Moderate,101.0,42.07
24.7,68.9,4.2,11.1,14.8,2.4,1.06,15.9,475,Good,88.0,35.71
28.6,71.9,4.1,17.7,44.3,4.1,1.48,4.9,780,Poor,291.0,13.7
32.3,87.0,54.7,69.9,56.1,26.6,2.5,2.7,801,Hazardous,463.0,17.18
23.5,76.1,0.2,7.4,26.9,3.4,0.9,11.2,277,Good,59.0,55.25
38.0,70.6,100.0,117.5,32.4,7.0,2.4,4.1,477,Poor,224.0,10.56
31.8,67.3,17.7,23.4,22.1,9.6,2.49,5.9,689,Poor,276.0,13.5
24.2,41.4,22.6,31.1,24.7,3.7,1.05,11.2,257,Good,81.0,59.48
21.6,77.6,5.0,10.6,17.6,2.5,0.94,11.0,591,Good,83.0,28.24
29.3,77.1,14.5,19.8,14.0,2.9,1.07,11.6,361,Good,98.0,52.0
29.2,77.9,12.9,21.4,24.7,12.6,1.39,6.4,640,Moderate,138.0,27.78
26.1,38.4,0.4,5.4,20.9,3.1,1.12,11.1,387,Good,77.0,41.89
31.2,53.7,29.4,43.3,29.6,15.4,1.44,8.3,432,Moderate,150.0,18.38
33.7,88.9,10.2,19.0,23.8,-0.3,1.7,8.3,405,Moderate,122.0,21.22
35.5,80.51766029208785,77.1,94.8,34.2,21.5,2.42,2.5,870,Hazardous,463.0,25.27
22.9,74.4,0.0,1.9,15.7,3.7,0.9,10.3,390,Good,70.0,58.66
33.8,88.3,7.6,13.1,26.7,5.6,1.44,5.9,654,Moderate,145.0,20.68
33.4,80.40155815712829,42.7,57.5,47.9,14.3,2.66,2.6,788,Hazardous,404.0,21.69
35.8,65.9,58.2,83.7,40.2,13.8,2.09,4.1,413,Poor,247.0,18.58
37.0,71.8,23.2,38.6,35.4,22.9,1.82,3.4,516,Poor,361.0,13.34
22.8,60.1,11.1,14.9,14.8,3.2,1.11,10.8,525,Good,42.0,31.19
51.3,58.0,31.2,48.3,34.3,11.5,3.32,2.6,538,Hazardous,431.0,14.66
32.5,55.8,1.0,13.5,34.3,9.7,1.84,6.0,325,Moderate,107.0,35.1
29.2,65.3,30.6,34.2,22.6,6.0,1.11,16.0,334,Good,98.0,47.61
31.2,76.6,23.0,36.0,23.4,12.5,1.39,6.2,384,Moderate,105.0,38.84
37.2,65.7,1.8,20.4,45.2,14.6,1.45,5.1,506,Poor,356.0,20.46
27.6,89.6,14.9,33.8,24.3,8.7,1.53,6.3,582,Moderate,176.0,15.96
26.8,58.5,39.0,46.5,27.4,8.6,1.59,5.5,466,Moderate,131.0,26.13
38.3,75.2455862373395,12.4,27.7,25.4,11.0,1.87,3.8,441,Poor,321.0,14.85
25.2,61.7,27.9,33.6,12.7,5.5,1.08,11.9,300,Good,100.0,52.58
21.7,74.1,57.2,74.9,20.9,7.1,1.63,5.0,580,Moderate,115.0,26.94
24.6,42.6,12.0,15.2,17.2,5.6,1.2,10.9,516,Good,76.0,34.03
35.1,78.2,14.0,32.1,28.3,3.0,1.98,3.7,597,Poor,306.0,18.2
22.3,41.6,11.6,16.2,15.3,2.1,1.04,12.2,236,Good,65.0,41.73
30.6,76.2,1.5,15.1,32.6,29.2,1.87,8.4,715,Poor,291.0,11.25
23.8,65.2,9.9,14.2,14.6,4.9,0.97,10.7,331,Good,58.0,40.36
35.5,71.8,7.4,27.5,33.8,22.6,1.91,3.9,676,Poor,246.0,18.16
27.4,69.9,5.9,9.5,25.2,5.7,0.89,11.9,589,Good,65.0,38.52
34.3,84.1,12.2,21.4,17.4,13.6,1.29,5.9,626,Moderate,173.0,12.94
37.0,80.1,35.2,49.4,41.1,21.2,1.84,5.3,469,Poor,262.0,13.23
37.2,82.03581483189853,20.8,37.1,29.5,10.8,1.66,8.3,531,Poor,268.0,13.9
20.0,61.2,11.1,17.2,24.2,2.6,1.08,11.3,209,Good,84.0,57.66
24.6,62.9,0.6,2.6,29.2,4.8,0.99,11.2,387,Good,80.0,40.39
23.9,42.1,19.2,25.4,16.8,5.2,1.12,11.6,352,Good,60.0,54.67
41.0,60.7,26.9,56.7,38.4,13.0,2.25,3.5,673,Poor,319.0,10.65
22.3,82.6,36.7,44.8,31.4,6.5,1.56,5.4,350,Moderate,153.0,31.48
40.0,90.4,5.4,24.6,36.4,15.3,1.85,4.8,561,Poor,251.0,26.7
28.0,45.2,7.3,9.7,24.1,2.2,1.13,12.7,286,Good,85.0,50.09
36.5,62.0,42.7,54.8,25.3,21.7,2.48,3.5,623,Poor,203.0,23.84
31.3,56.1,2.3,11.6,21.1,9.0,1.41,10.9,588,Moderate,105.0,35.56
30.0,67.1,2.2,7.8,39.2,17.0,2.0,5.2,793,Poor,323.0,24.5
27.4,77.3,0.7,12.2,25.3,5.3,1.57,10.8,477,Moderate,129.0,34.36
31.6,81.1,18.7,30.0,31.6,12.3,1.45,5.5,664,Moderate,112.0,15.76
25.7,71.4,13.9,18.5,22.2,6.4,1.41,7.7,520,Moderate,117.0,18.73
22.3,49.8,14.4,18.5,16.5,4.3,1.1,15.4,500,Good,97.0,33.37
22.7,73.0,33.6,38.6,30.8,14.2,1.72,10.7,576,Moderate,118.0,38.84
48.9,62.0,12.2,35.7,45.4,22.7,2.27,2.7,865,Hazardous,449.0,12.44
37.9,71.0,5.6,21.0,49.8,34.5,3.0,5.0,537,Hazardous,444.0,14.34
28.1,64.0,11.7,13.8,15.4,3.4,0.93,11.5,373,Good,82.0,40.01
23.5,74.5,1.7,5.9,25.3,4.9,1.01,12.4,312,Good,66.0,59.93
30.7,66.4,16.6,24.4,23.3,9.5,1.53,9.5,379,Moderate,170.0,41.53
30.4,90.1,4.9,20.7,45.0,23.5,2.29,3.6,681,Hazardous,506.0,13.97
38.0,77.7,49.8,65.9,42.7,17.2,2.02,6.2,750,Hazardous,422.0,27.19
34.1,74.6,27.0,47.6,22.4,27.2,2.57,3.5,732,Poor,229.0,25.3
32.0,75.0,2.5,12.8,32.3,4.3,1.39,5.6,546,Moderate,113.0,11.09
31.5,72.2,31.2,62.0,32.2,16.1,2.7,3.1,747,Hazardous,595.0,12.87
32.0,84.4,30.3,39.1,40.4,21.2,1.99,6.2,454,Poor,244.0,14.13
27.3,61.6,0.6,2.3,14.0,4.2,0.87,19.0,465,Good,32.0,43.94
27.7,69.4,0.8,8.4,14.3,4.1,0.86,13.4,425,Good,64.0,37.04
24.0,65.5,3.6,9.1,25.2,6.7,0.97,14.1,387,Good,70.0,49.9
28.7,75.2,3.4,7.9,23.3,5.0,0.83,10.3,425,Good,60.0,35.32
25.3,47.1,23.5,28.9,12.5,5.9,1.19,10.9,223,Good,98.0,58.55
31.2,71.9,56.5,74.2,29.9,11.8,2.14,4.0,602,Poor,215.0,19.02
34.3,86.01277518984341,12.6,30.7,52.7,17.5,2.02,4.5,934,Hazardous,510.0,29.89
37.3,85.0,9.6,23.9,31.2,16.2,2.22,4.9,592,Poor,222.0,18.0
32.4,76.4,22.2,30.0,23.0,10.2,1.47,7.6,331,Moderate,109.0,41.35
21.6,50.3,3.0,6.7,22.7,3.3,1.0,10.1,223,Good,56.0,57.75
22.1,73.9,4.6,14.5,32.4,22.2,2.1,6.8,492,Poor,310.0,18.73
23.3,80.6,8.6,11.2,17.2,6.7,1.02,10.9,511,Good,39.0,35.09
48.8,92.0,2.4,24.9,38.2,16.9,2.84,3.7,664,Hazardous,443.0,19.6
26.4,52.2,18.0,25.6,22.8,5.9,1.12,10.4,539,Good,78.0,37.76
28.7,41.0,5.9,10.7,19.7,8.0,1.01,11.6,387,Good,56.0,44.11
39.6,87.7,2.8,12.5,28.9,2.8,2.05,3.8,692,Poor,223.0,23.44
30.3,88.4,34.6,49.5,25.8,22.5,1.48,3.4,583,Poor,308.0,21.09
28.3,59.6,26.3,36.6,17.7,9.4,1.45,6.0,278,Moderate,102.0,29.3
29.7,88.0,3.9,13.9,36.8,10.3,1.7,6.9,457,Moderate,120.0,16.04
32.4,85.55207805199588,0.7,5.8,43.0,21.2,1.87,3.9,525,Poor,340.0,26.59
